"# Player",,GP-GS,MIN,AVG,FG-FGA,FG%,3FG-FGA,3FG%,FT-FTA,FT%,OFF,DEF,TOT,AVG,PF,DQ,A,TO,BLK,STL,PTS,AVG
"00 Sellers, Shyanne",,7-7,223,31.9,39-90,.433,7-17,.412,41-47,.872,4,34,38,5.4,15,0,29,27,4,14,126,18.0
"11 Brown-Turner, Jakia",,7-7,188,26.9,28-74,.378,4-19,.211,22-25,.880,17,26,43,6.1,15,0,9,20,1,10,82,11.7
"24 McDaniel, Bri",,7-0,138,19.7,19-53,.358,3-10,.300,27-33,.818,3,16,19,2.7,21,0,13,14,2,10,68,9.7
"14 Kubek, Allie",,7-3,157,22.4,26-45,.578,3-7,.429,7-13,.538,16,16,32,4.6,12,0,3,9,3,6,62,8.9
"05 Alexander, Brinae",,7-7,156,22.3,18-52,.346,16-43,.372,5-6,.833,5,18,23,3.3,19,1,6,10,0,11,57,8.1
"03 Briggs, Lavender",,7-7,164,23.4,18-55,.327,3-11,.273,3-4,.750,16,21,37,5.3,8,0,9,5,0,2,42,6.0
"02 Nelson, Riley",,7-0,112,16.0,12-37,.324,0-7,.000,6-6,1.000,6,7,13,1.9,7,0,8,4,1,2,30,4.3
"13 Masonius, Faith",,7-4,138,19.7,12-33,.364,2-5,.400,3-5,.600,7,15,22,3.1,15,0,20,16,0,1,29,4.1
"33 Bostock, Summer",,2-0,15,7.5,1-3,.333,0-1,.000,3-4,.750,1,5,6,3.0,2,0,1,1,0,1,5,2.5
"30 Sareen, Mary",,1-0,2,2.0,1-2,.500,0-0,.000,0-0,.000,0,0,0,0.0,0,0,0,0,0,0,2,2.0
"20 Doumbouya, Hawa",,4-0,13,3.3,3-8,.375,0-0,.000,1-6,.167,5,3,8,2.0,2,0,2,2,0,0,7,1.8
"34 Fisher, Emily",,7-0,48,6.9,3-9,.333,0-1,.000,6-10,.600,6,9,15,2.1,8,0,2,7,0,2,12,1.7
"21 Chardon, Emma",,7-0,44,6.3,5-6,.833,0-0,.000,0-0,.000,1,3,4,0.6,5,0,2,3,0,0,10,1.4
"15 Nuako, Zen",,1-0,2,2.0,0-0,.000,0-0,.000,0-0,.000,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Total,,7,1400,200.0,185-467,.396,38-121,.314,124-159,.780,109,186,295,42.1,129,1,104,119,11,59,532,76.00
